id_me,morph,length_cm,weight_g,logCsize_M,sex,age,sideLR,tooth,top,side,angle
PC4238,PI,50,1795,2.1919838,M,,Right,1,0.66,0.93,35.3624619
PC4239,LB,43.4,995,1.7650706,M,,Right,1,0.31,0.54,29.8590162
PC4240,PI,41,780,1.6444442,F,,Right,1,0.55,0.59,42.9904462
PC4241,PI,35.6,490,1.4543679,F,,Right,1,0.32,0.48,33.6900675
PC4242,PI,33,425,1.6159891,M,,Right,1,0.34,0.33,45.8550974
PC4243,PI,36,565,1.6832638,M,,Right,1,0.59,0.66,41.7947841
PC4245,PI,27.2,245,1.363855,M,,Right,1,0.33,0.3,47.726311
PC4246,SB,29.7,285,1.2668626,F,,Right,1,0.24,0.28,40.6012947
PC4249,PI,47,1150,1.7600206,F,,Right,1,0.57,0.51,48.1798301
PC4250,PI,45,905,1.7956688,F,,Right,1,0.45,0.54,39.8055711
PC4251,PI,42.9,945,1.6200988,F,,Right,1,0.47,0.64,36.2926297
PC4252,PI,32.8,430,1.4275362,M,,Right,1,0.22,0.52,22.9321004
PC4253,PI,31,360,1.3084047,F,,Right,1,0.27,0.35,37.6476206
PC4254,PI,31.5,340,1.333377,F,,Right,1,0.27,0.3,41.9872125
PC4255,PI,34.4,375,1.4311301,F,,Right,1,0.41,0.27,56.633634
PC4256,PI,28.9,265,1.3644274,M,,Right,1,0.33,0.39,40.2363583
PC4257,PI,29.6,265,1.2718684,M,,Right,1,0.23,0.39,30.5297059
PC4258,PI,30,240,1.3159993,F,,Right,1,0.31,0.29,46.9091524
PC4263,PL,26.4,185,1.0768645,F,,Right,1,0.18,0.13,54.1623471
PC4264,PL,22,125,1.0597176,M,,Right,1,0.11,0.22,26.5650512
PC4266,PL,25,160,1.0378989,F,,Right,1,0.2,0.22,42.273689
PC4267,PL,27.1,200,1.2210298,F,,Right,1,0.25,0.21,49.9697407
PC4268,SB,22,98.33,0.9926104,F,,Right,1,0.3,0.22,53.7461623
PC4269,SB,22.5,113.25,1.061864,M,,Right,1,0.21,0.32,33.274888
PC4270,SB,21.9,111.02,1.0348432,F,,Right,1,0.25,0.3,39.8055711
PC4271,SB,20.2,82.76,0.8076641,F,,Right,1,0.22,0.19,49.1849161
